# Generated using https://github.com/tstellanova/wmm2015_explorer/
#
# min alt: 1.000000 lat: -90.000000 lon: -180.000000 year: 2019.100000
# max alt: 100.000000 lat: 90.000000 lon: 180.000000 year: 2019.100000 
# step alt: 500.000000 lat: 5.000000 lon: 2.500000 year: 1.000000 
# ===============
# lat_deg, lon_deg, mag_x, mag_y, mag_z 
-85.00,-60.00,	 16249.403,  8012.229,-48374.013 
-85.00,-57.50,	 16569.400,  7409.324,-48242.097 
-85.00,-55.00,	 16864.530,  6793.215,-48116.370 
-85.00,-52.50,	 17134.352,  6164.895,-47997.078 
-85.00,-50.00,	 17378.460,  5525.366,-47884.454 
-85.00,-47.50,	 17596.467,  4875.626,-47778.692 
-85.00,-45.00,	 17788.007,  4216.678,-47679.958 
-85.00,-42.50,	 17952.753,  3549.534,-47588.422 
-85.00,-40.00,	 18090.424,  2875.222,-47504.289 
-85.00,-37.50,	 18200.780,  2194.777,-47427.766 
-85.00,-35.00,	 18283.596,  1509.232,-47359.030 
-85.00,-32.50,	 18338.656,   819.624,-47298.215 
-85.00,-30.00,	 18365.762,   126.997,-47245.432 
-85.00,-27.50,	 18364.754,  -567.589,-47200.801 
-85.00,-25.00,	 18335.509, -1263.066,-47164.457 
-85.00,-22.50,	 18277.935, -1958.353,-47136.525 
-85.00,-20.00,	 18191.957, -2652.358,-47117.104 
-85.00,-17.50,	 18077.522, -3343.976,-47106.272 
-85.00,-15.00,	 17934.615, -4032.088,-47104.103 
-85.00,-12.50,	 17763.257, -4715.559,-47110.668 
-85.00,-10.00,	 17563.505, -5393.238,-47126.028 
-85.00, -7.50,	 17335.444, -6063.960,-47150.218 
-85.00, -5.00,	 17079.196, -6726.542,-47183.251 
-85.00, -2.50,	 16794.926, -7379.786,-47225.128 
-85.00,  0.00,	 16482.848, -8022.479,-47275.845 
-85.00,  2.50,	 16143.230, -8653.396,-47335.387 
-85.00,  5.00,	 15776.383, -9271.301,-47403.715 
-85.00,  7.50,	 15382.669, -9874.943,-47480.759 
-85.00, 10.00,	 14962.502,-10463.065,-47566.428 
-85.00, 12.50,	 14516.365,-11034.404,-47660.624 
